일자,구분1,발전소코드,발전소용량(KW),0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,합계
2023-03-02,실측,G1018,288.0,0.0,0.0,0,0,0,0.0,0.0,4.22,37.8,112.06,174.43,202.99,217.9,214.7,195.77,163.56,111.65,44.69,2.62,0.0,0,0,0,0,1482.38
2023-03-02,실측,G1034,298.08,0.0,0.0,0,0,0,0.0,0.0,7.0,66.6,140.2,23.4,15.6,15.6,117.2,211.0,165.4,101.6,33.2,1.2,0.0,164,172.6,172.6,157.4,1564.6
2023-03-02,실측,S5004,300.8,0.0,0.0,0,0,0,0.0,0.0,5.74,45.0,117.56,182.62,229.9,211.66,258.28,245.82,211.3,148.72,48.96,3.68,0.0,0,0,0,0,1709.24
2023-03-02,실측,S5043,320.76,0.0,0.0,0,0,0,0.0,0.0,7.69,90.78,229.51,206.24,244.78,265.45,267.95,373.34,377.49,249.36,236.96,196.08,193.08,192.84,60.26,0,0,3191.82
2023-03-02,실측,G1039,327.31,0.0,0.0,0,0,0,0.0,0.0,12.6,81.2,155.8,37.6,26.0,25.8,26.4,186.6,153.8,88.6,201.2,211.8,211.6,174.4,0,0,0,1593.4
2023-03-02,실측,S5007,339.2,0.0,0.0,0,0,0,0.0,0.0,3.56,44.2,126.18,193.7,242.54,268.08,270.68,251.12,214.1,153.04,72.68,4.26,0.0,0,0,0,0,1844.14
2023-03-02,실측,S5020,341.64,0.0,0.0,0,0,0,0.0,0.0,8.64,59.4,142.08,210.72,255.48,283.08,286.68,266.64,226.56,164.04,75.72,2.52,0.0,0,0,0,0,1981.56
2023-03-02,실측,G1022,347.0,0.0,0.0,0,0,0,0.0,0.0,17.52,100.56,190.8,257.16,297.4,315.72,307.68,279.16,229.04,151.72,59.76,3.2,0.0,0,0,0,0,2209.72
2023-03-02,실측,S5014,364.23,0.0,0.0,0,0,0,0.0,0.0,51.2,163.4,241.2,297.2,328.4,327.2,302.4,253.6,179.6,90.0,20.2,1.4,0.0,0,0,0,0,2255.8
2023-03-02,실측,G1019,371.07,0.0,0.0,0,0,0,0.0,0.0,15.04,99.52,190.08,257.28,301.44,319.68,316.48,288.64,236.8,160.32,65.6,2.24,0.0,0,0,0,0,2253.12
2023-03-02,실측,S5027,377.01,0.0,0.0,0,0,0,0.0,0.0,16.32,96.32,187.2,257.92,304.32,318.72,317.76,287.52,233.44,152.48,56.16,2.88,0.0,0,0,0,0,2231.04
2023-03-02,실측,S5017,383.4,0.0,0.0,0,0,0,0.0,0.0,8.48,67.84,161.92,240.48,290.72,317.6,317.12,295.52,247.84,171.52,76.48,3.36,0.0,0,0,0,0,2198.88
2023-03-02,실측,G1032,400.77,0.0,0.0,0,0,0,0.0,0.0,18.4,108.96,205.92,276.96,320.48,338.88,333.44,302.4,249.92,167.2,67.04,3.36,0.0,0,0,0,0,2392.96
2023-03-02,실측,S5021,415.35,0.0,0.0,0,0,0,0.0,0.0,10.4,91.8,209.4,295.4,353.8,386.6,390.4,361.4,297.8,208.0,89.8,3.0,0.0,0,0,0,0,2697.8
2023-03-02,실측,S5024,427.0,0.0,0.0,0,-,0,0.0,0.0,18.64,189.53,444.0,637.32,754.77,778.06,780.24,709.97,594.53,400.11,129.09,11.54,0.0,0,0,0,0,5447.81
